City,WNBA team,NBA team
"Atlanta, GA",Atlanta Dream,Atlanta Hawks
"Chicago, IL",Chicago Sky,Chicago Bulls
"Montville, CT",Connecticut Sun,NA
"Dallas, TX",Dallas Wings,Dallas Mavericks
"Indianapolis, IN",Indiana Fever,Indiana Pacers
"Las Vegas, NV",Las Vegas Aces,NA
"Las Angeles, CA",Las Angeles Sparks,Los Angeles Lakers
"Minneapolis, MN",Minnesota Lynx,Minnesota Timberwolves
"New York City (Brooklyn), NY",New York Liberty (Brooklyn),"Brooklyn Nets 
New York Knicks (NY, NY)"
"Phoenix, AZ",Phoenix Mercury,Phoenix Suns
"Seattle, WA",Seattle Storm,NA - moved to OK
"Washington, DC",Washington Mystics,Washington Wizards
